,layer1_mean,layer1_std,layer1_layer2,layer2_mean,layer2_std,layer3_mean,layer3_std,layer4_mean,layer4_std,layer1_comp,layer1_comp_num,layer2_comp,layer2_comp_num,layer3_comp,layer3_comp_num,layer4_comp,layer4_comp_num,Density
1,1.997022296602951,0.13739609775295603,6.0,4.74485956185617,0.4645053969833884,4.064143872491275,0.4718276729260575,6.353927149708969,0.9185950830908302,['F'],[5],"['F', 'U', 'Li']",[30  0  0],"['F', 'U', 'Li']",[0 9 0],"['F', 'U', 'Li']",[21  0  0],0.0612
2,1.9850410218324366,0.13678016679333138,8.0,4.497137094860959,0.5924713223960842,4.085824388261554,0.3625949897258579,6.342982302223012,0.6778378127985756,['F'],[4],"['F', 'U', 'Li']",[22  0  0],"['F', 'U', 'Li']",[0 3 0],"['F', 'U', 'Li']",[20  0  0],0.045334
3,2.110140491700436,0.16396775861037982,8.0,4.699026338488288,0.5145151421689315,4.783897990656386,0.2275832377285286,6.188184149304193,0.5651984141812114,['F'],[5],"['F', 'U', 'Li']",[15  0  0],"['F', 'U', 'Li']",[ 0 10  0],"['F', 'U', 'Li']",[20  0  0],0.051
4,1.9712705760077123,0.13453715952716933,8.0,4.511041622048394,0.5208068598329917,4.486767899226626,0.321762700463016,6.078939377614414,0.6303585465829176,['F'],[8],"['F', 'U', 'Li']",[16  0  0],"['F', 'U', 'Li']",[0 5 0],"['F', 'U', 'Li']",[20  0  0],0.048734
5,2.001660328500812,0.11096199185769332,3.0,4.257230948013343,0.4154328185464173,4.195293592848729,0.20424929569591882,6.127945736019632,0.7922506869313553,['F'],[10],"['F', 'U', 'Li']",[20  0  0],"['F', 'U', 'Li']",[ 0 14  0],"['F', 'U', 'Li']",[20  0  0],0.062334
6,2.407954153815691,0.24785748960326462,6.0,4.582558849262725,0.5493940674143898,4.562302058984,0.41024692720317146,5.818848067683935,0.8718104182338224,['F'],[10],"['F', 'U', 'Li']",[18  0  0],"['F', 'U', 'Li']",[ 0 14  0],"['F', 'U', 'Li']",[21  0  0],0.068
7,2.0561869305123346,0.17615873619159259,7.0,4.3642554414295,0.5255641934876901,4.411179082968336,0.4040774979976321,5.962805181712461,0.8043399458323872,['F'],[8],"['F', 'U', 'Li']",[20  0  0],"['F', 'U', 'Li']",[ 0 14  0],"['F', 'U', 'Li']",[21  0  0],0.068
8,2.386685375648624,0.24904459981910657,8.0,4.076445778208885,0.5505700193444927,4.578517465304028,0.31579942336495126,6.074317646731774,0.863819959783326,['F'],[5],"['F', 'U', 'Li']",[6 0 0],"['F', 'U', 'Li']",[ 0 12  0],"['F', 'U', 'Li']",[21  0  0],0.0408
9,2.074310436974134,0.2485168811554555,5.0,4.401854176634157,0.5756891696576382,4.784821471823205,0.2634216484861712,6.2931949304161385,0.6542172040467781,['F'],[5],"['F', 'U', 'Li']",[6 0 0],"['F', 'U', 'Li']",[ 0 10  0],"['F', 'U', 'Li']",[20  0  0],0.0374
10,2.1071059942611363,0.110475685423403,8.0,4.709521237353492,0.40152501862938167,4.434963754134964,0.4841798093094087,6.305242969347392,0.6348404181991609,['F'],[9],"['F', 'U', 'Li']",[15  0  0],"['F', 'U', 'Li']",[ 0 10  0],"['F', 'U', 'Li']",[21  0  0],0.052134
11,2.3389207340635854,0.22027648145576678,4.0,4.635362610127679,0.4815483962335905,4.390053716716039,0.21018169729553965,6.218662064068104,0.595515194846835,['F'],[9],"['F', 'U', 'Li']",[18  0  0],"['F', 'U', 'Li']",[0 1 0],"['F', 'U', 'Li']",[20  0  0],0.039667
12,2.3502578760771433,0.20805144744490944,8.0,4.030891849589584,0.5707637224299811,4.490340896955345,0.23316692828084856,6.206321704026111,0.8112052216711314,['F'],[4],"['F', 'U', 'Li']",[22  0  0],"['F', 'U', 'Li']",[ 0 10  0],"['F', 'U', 'Li']",[21  0  0],0.060067
13,2.1386383114108116,0.23473250994712255,4.0,4.526730756987416,0.4608299390839052,4.777651961746756,0.22814497297228717,6.070247063389883,0.8590964443877889,['F'],[4],"['F', 'U', 'Li']",[25  0  0],"['F', 'U', 'Li']",[0 3 0],"['F', 'U', 'Li']",[20  0  0],0.049867
14,2.4570026144141415,0.23201981168709845,5.0,4.498376306522486,0.427369494733464,4.243063748327536,0.3333030903596021,6.351095354056803,0.9378394146268159,['F'],[6],"['F', 'U', 'Li']",[18  0  0],"['F', 'U', 'Li']",[ 0 12  0],"['F', 'U', 'Li']",[20  0  0],0.051
15,2.157558725154515,0.11700799114353982,7.0,4.276372148233323,0.5337556235193758,4.721914855375622,0.3083552299594216,6.049603952704598,0.8599653261964267,['F'],[8],"['F', 'U', 'Li']",[22  0  0],"['F', 'U', 'Li']",[ 0 14  0],"['F', 'U', 'Li']",[21  0  0],0.063467
16,2.1834100024370153,0.11908363051107973,7.0,4.591819308945695,0.49173268971200734,4.088219207500834,0.2858433469479243,6.181184592671811,0.7053269682725072,['F'],[5],"['F', 'U', 'Li']",[25  0  0],"['F', 'U', 'Li']",[0 9 0],"['F', 'U', 'Li']",[20  0  0],0.060067
17,2.4388985538328223,0.1087213004172578,7.0,4.264630553557445,0.47283985401332274,4.715672341741662,0.39401918329572827,6.1360741976193225,0.7481262994853257,['F'],[5],"['F', 'U', 'Li']",[6 0 0],"['F', 'U', 'Li']",[ 0 12  0],"['F', 'U', 'Li']",[21  0  0],0.0442
18,2.042918864396654,0.21462611936793058,7.0,4.10804657286221,0.5003180900464974,4.338357815310115,0.30283978007263596,6.0465343450718505,0.7925182183794585,['F'],[5],"['F', 'U', 'Li']",[6 0 0],"['F', 'U', 'Li']",[ 0 14  0],"['F', 'U', 'Li']",[21  0  0],0.046467
19,2.307313458136688,0.23133832623214223,8.0,4.458636250641547,0.4582701550058558,4.442543559718896,0.29351482444206445,6.053769738021335,0.8457838770152393,['F'],[8],"['F', 'U', 'Li']",[20  0  0],"['F', 'U', 'Li']",[ 0 12  0],"['F', 'U', 'Li']",[20  0  0],0.060067
20,2.3331493210489596,0.20077177877561092,7.0,4.62353940222777,0.4003883277277094,4.46286608532711,0.37947671067462757,6.0037214836622805,0.825186872002156,['F'],[5],"['F', 'U', 'Li']",[18  0  0],"['F', 'U', 'Li']",[ 0 10  0],"['F', 'U', 'Li']",[20  0  0],0.051
21,2.1610029353431393,0.24753279177038764,7.0,4.663163891505995,0.4536033089632609,4.555970309312922,0.42241827280279787,5.910740698601918,0.6163568085260146,['F'],[9],"['F', 'U', 'Li']",[30  0  0],"['F', 'U', 'Li']",[ 0 12  0],"['F', 'U', 'Li']",[20  0  0],0.073667
22,2.1736681868710015,0.12840095994061254,3.0,4.24019091891434,0.4489518849203631,4.331435775721289,0.2670464617711182,6.394045957656441,0.6695997280208656,['F'],[10],"['F', 'U', 'Li']",[22  0  0],"['F', 'U', 'Li']",[0 7 0],"['F', 'U', 'Li']",[21  0  0],0.0578
23,2.3645399024441156,0.13459037043165623,6.0,4.474993819820393,0.47582920555609776,4.45969486805231,0.2652946318168829,6.419836578287349,0.8788917121973574,['F'],[10],"['F', 'U', 'Li']",[18  0  0],"['F', 'U', 'Li']",[ 0 12  0],"['F', 'U', 'Li']",[21  0  0],0.060067
24,2.3548681833097524,0.1738627377473861,3.0,4.22688552964415,0.46967093075939526,4.660730338485038,0.3132712580685441,6.303361443265619,0.8115744692340027,['F'],[5],"['F', 'U', 'Li']",[6 0 0],"['F', 'U', 'Li']",[0 3 0],"['F', 'U', 'Li']",[20  0  0],0.024933
